yred,xred,ygreen,xgreen,yblue,xblue,knowledge
321,103,360,97,341,108,b
254,91,339,93,343,100,b
255,55,281,62,290,72,b
227,55,299,56,435,71,b
969,0,623,0,285,61,b
291,29,391,42,410,40,b
505,0,243,80,253,65,b
350,0,214,72,193,64,b
159,130,167,144,200,189,b
241,60,247,76,266,141,b
211,81,182,86,164,93,b
327,12,279,53,248,102,b
170,58,212,95,300,223,w
354,126,398,127,558,179,w
387,150,346,155,561,234,w
190,109,220,106,573,216,w
345,79,338,111,582,183,w
154,82,190,105,339,192,w
148,136,169,143,274,214,w
163,17,143,169,317,219,w
412,83,350,105,817,208,w
180,71,191,99,400,201,w
476,118,928,151,1257,220,w
473,129,619,137,742,191,w